https://apkscan.nviso.be/,NVISO ApkScan,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.mobile-app-insight.org,Mobile app insight,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://ww38.xchg.info/corkami/opcodes_tables.pdf,Opcodes table for quick reference,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.mobilemalware.com.br/analysis/index_en.php,Mobile Malware Sandbox,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://codekiem.com/2012/02/24/apk-downloader/,APK-Downloader,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://dunkelheit.com.br/amat/analysis/index_en.php,online analyzer,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.google.com/p/asef/,Android Security Evaluation Framework,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://andrototal.org/,AndroTotal,https://github.com/ashishb/android-security-awesome#readme,Android Security error: timeout('timed out') | reason: 
http://safe.ijiami.cn/,Ijiami,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://redmine.honeynet.org/projects/are/wiki,Android Reverse Engineering,https://github.com/ashishb/android-security-awesome#readme,Android Security error: timeout('The read operation timed out') | reason: 
http://siis.cse.psu.edu/dare/index.html,Dare,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.androidsandbox.net/,Android Sandbox,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.mobilemalware.com.br/amat/download.html,Android Malware Analysis Toolkit,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://thecobraden.com/projects/cobradroid/,Cobradroid,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://source.android.com/security/reports/Google_Android_Security_PHA_classifications.pdf,Google Android Security Team’s Classifications for Potentially Harmful Applications (Malware),https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
https://amaaas.com,AMAaaS,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://tracedroid.few.vu.nl/,Tracedroid,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://malwarepot.com/index.php/AMAaaS,MalwarePot,https://github.com/ashishb/android-security-awesome#readme,Android Security error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://siis.cse.psu.edu/tools.html,Several tools from PSU,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://www.mobiseclab.org/eacus.jsp,MobiSec Eacus,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://copperdroid.isg.rhul.ac.uk/copperdroid/,CopperDroid,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://sanddroid.xjtu.edu.cn/,SandDroid,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://anubis.iseclab.org/,Anubis,https://github.com/ashishb/android-security-awesome#readme,Android Security error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
