http://pasteapp.me,Paste,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.transmissionbt.com/,Transmission,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://www.cakebrew.com,Cakebrew,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://www.monityapp.com/,Monity,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
https://itunes.apple.com/us/app/surge-web-developer-tool-proxy/id1040100637,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.publicspace.net/BetterRename/,BetterRename,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://todo.microsoft.com/,Microsoft To-Do,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://sigil-ebook.com/,Sigil,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.presetbrewery.com,Preset Brewery,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://www.dejal.com/timeout/,Time Out,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
http://magnet.crowdcafe.com/,Magnet,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('timed out') | reason: 
https://itunes.apple.com/us/app/better-rename-9/id414209656,,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://anvilformac.com/,Anvil,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://docs.microsoft.com/en-us/sql/azure-data-studio/,Azure Data Studio,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://www.git-tower.com/,Tower2,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: timeout('The read operation timed out') | reason: 
https://evernote.com/skitch/,Skitch,https://github.com/jaywcjlove/awesome-mac#readme,Apps error: RemoteDisconnected('Remote end closed connection without response') | reason: 
