https://mixmax.com/blog/meteor-and-backbone,Bringing Meteor’s reactive collections to Backbone,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://javascriptplayground.com/blog/2013/07/building-an-app-with-express-and-backbone-part-4,Part 4,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://addyosmani.github.io/backbone-fundamentals/,Developing Backbone.js Applications,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.webdeveasy.com/backbone-cleanup/,Backbone Cleanup,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://javascriptplayground.com/blog/2013/08/express-backbone-part5,Part 5,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://backplug.io/,Backbone plugins,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://javascriptplayground.com/blog/2013/09/express-backbone-part6,Part 6,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://quickleft.com/blog/leveraging-deferreds-in-backbonejs,Leveraging Deferreds in Backbone.js,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://singlepagebook.supportbee.com/,Developing Single Page Apps with Backbone.js,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'singlepagebook.supportbee.com'. (_ssl.c:1123)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'singlepagebook.supportbee.com'. (_ssl.c:1123)
http://javascriptplayground.com/blog/2013/09/express-backbone-part7,Part 7,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://orizens.com/wp/topics/backbone-js-for-large-scale-applications-ui-architecture/,Backbone.js for large scale applications - UI architecture,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://javascriptplayground.com/blog/2013/10/express-backbone-part8,Part 8,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://orizens.com/wp/topics/backbone-view-patterns-rendering-a-collection/,Backbone.View Patterns - Rendering A Collection,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://quickleft.com/blog/integrating-react-with-backbone/,Integrating React With Backbone,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://orizens.com/wp/topics/backbone-view-patterns-how-why-to-use-subviews/,Backbone.View Patterns - How & Why Use Subviews,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://tiagorg.github.io/talk-backbone-tricks-or-treats-html5devconf,Backbone.js tricks or treats,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://orizens.com/wp/topics/backbone-view-patterns-the-render-method/,Backbone.View Patterns - The "Render" Method,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://kroltech.com/2013/12/boilerplate-web-app-using-backbone-js-expressjs-node-js-mongodb/,Boilerplate web app using Backbone.js, Express.js, Node.js, MongoDB,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.codebeerstartups.com/2012/12/a-complete-guide-for-learning-backbone-js/,A Complete Guide for Learning Backbone.js,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://javascriptplayground.com/blog/2013/02/express-backbone-application-part1,Part 1,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://javascriptplayground.com/blog/2013/02/building-an-app-with-express-and-backbone-part-2,Part 2,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://javascriptplayground.com/blog/2013/04/building-an-app-with-express-and-backbone-part-3,Part 3,https://github.com/sadcitizen/awesome-backbone#readme,Backbone error: <HTTPError 404: 'Not Found'> | reason: Not Found
