https://www.cloudbakers.com/blog/cuds-vs.-commit-contracts-vs.-suds-in-google-cloud,CUDs vs. Commit Contracts vs. SUDs in Google Cloud,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://news.ycombinator.com/item?id=17517479,On GCP invoiced billing,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=6376221,derived geodata on the transaction,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://webcache.googleusercontent.com/search?q=cache:7hrzYYk5-IwJ:https://fant.io/p/hacking-voi/,Hacking Scooters: How I Created $100k Worth Of Free Rides,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.orbitera.com,Orbitera,https://github.com/kdeldycke/awesome-billing#readme,Billing error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://amzn.com/0273744704/?tag=kevideld-20,Accounts Demystified: The Astonishingly Simple Guide To Accounting,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://amzn.com/1422119157/?tag=kevideld-20,Financial Intelligence for Entrepreneurs: What You Really Need to Know About the Numbers,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://amzn.com/9814287113/?tag=kevideld-20,Algebraic Models for Accounting Systems,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://stripe.com/en-in/atlas/guides/saas-pricing,Pricing low-touch SaaS,https://github.com/kdeldycke/awesome-billing#readme,Billing error: timeout('The read operation timed out') | reason: 
http://minesafetydisclosures.com/blog/2019/7/23/part-ll-an-overview-of-visa,An Overview of Visa,https://github.com/kdeldycke/awesome-billing#readme,Billing error: timeout('The read operation timed out') | reason: 
https://developers.google.com/ad-manager/api/reference/v201911/CompanyService.BillingCap,Google Ads API: BillingCap enum,https://github.com/kdeldycke/awesome-billing#readme,Billing error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ec.europa.eu/growth/smes/support/late-payment_en,EU's Late Payment Directive,https://github.com/kdeldycke/awesome-billing#readme,Billing error: timeout('The read operation timed out') | reason: 
