https://rundexter.com/app/spreadsheet-bot,Dexter,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://chatbotconf.com/,ChatbotConf,https://github.com/hackerkid/bots#readme,Bots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://ls.terminal.ink/,Terminal Bot List,https://github.com/hackerkid/bots#readme,Bots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.getbotmetrics.com/,Botmetrics,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://botmakers.net/,BotMakers,https://github.com/hackerkid/bots#readme,Bots error: HTTPException('got more than 100 headers') | reason: 
https://dev.havenondemand.com/apis,Haven OnDemand,https://github.com/hackerkid/bots#readme,Bots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://blog.discordapp.com/the-robot-revolution-has-unofficially-begun/,Discord,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://chatmetrics.io/,ChatMetrics,https://github.com/hackerkid/bots#readme,Bots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://developer.ciscospark.com/getting-started.html,Cisco Spark,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://slackhq.com/a-beginners-guide-to-your-first-bot,A Beginner’s Guide To Your First Bot.,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bots.discord.pw/,Discord Bots,https://github.com/hackerkid/bots#readme,Bots error: <HTTPError 521: ''> | reason: 
