http://g.oswego.edu/pub/misc/malloc.c,dlmalloc,https://github.com/inputsh/awesome-c#readme,C error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bitbucket.org/MDukhan/yeppp,Yeppp!,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://valloric.github.io/YouCompleteMe/,YouCompleteMe,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://computing.llnl.gov/tutorials/openMP/,OpenMP tutorial,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://lionet.info/asn1c/compiler.html,asnlc,https://github.com/inputsh/awesome-c#readme,C error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://fakenmc.github.io/cf4ocl/,cf4ocl,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gtk.org/gtk-doc/,GTK-Doc,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://git.mpich.org/mpich.git/blob_plain/6aab201f58d71fc97f2c044d250389ba86ac1e3c:/COPYRIGHT,MPICH licence,https://github.com/inputsh/awesome-c#readme,C error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
http://users.jyu.fi/~sapekiis/cheat/,CHEAT,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hughes.com.au/products/libhttpd/,libhttpd,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.perforce.com/documentation/jam-documentation,Jam,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.oracle.com/linux/8-gdb-tricks-you-should-know-v2,8 gdb tricks you should know,https://github.com/inputsh/awesome-c#readme,C error: timeout('The read operation timed out') | reason: 
