http://bio.academany.org/2015/labs/luzern/final_project.html,Welcome to How To Grow (almost) Anything in GaudiLabs - Switzerland,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ember.autodesk.com/,Ember,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://ellieirons.com/projects/sanctuary/,Sanctuary for Weedy Species,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.pharmtech.com/spectrophotometric-determination-lead,Spectrophotometric Determination of Lead,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://listening.coweeta.uga.edu/,Coweeta Listening Project,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.herbsociety.org/support/grants-scholarships/grant-details.html,Herb Society of America,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'File Not Found'> | reason: File Not Found
https://preciousplastic.com/en/videos/build/extrusion/,Precious Plastic,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://getchip.com/pages/chip,C.H.I.P,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.raspberrypi.org/products/pi-zero/,Raspberry Pi Zero,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://collabfinder.com/,CollabFinder,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 530: ''> | reason: 
http://openlab-blueprint.org/,OpenLab-Blueprint,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.jstor.org/stable/pdf/27896218.pdf,Citizen Science as an Ecological Research Tool: Challenges and Benefits,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://crowdsourcing-toolkit.sites.usa.gov/,Federal Crowdsourcing and Citizen Science Toolkit,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://libgen.io/,LibGen,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
