https://clist.by/,clist.by,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: timeout('The read operation timed out') | reason: 
http://tcframe.org/,tcframe,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://play.google.com/store/apps/details?id=com.corphots.coderscalendar,Android App,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://codeforces.com/blog/entry/13369,JHelper,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: ConnectionResetError(54, 'Connection reset by peer') | reason: 
https://addons.mozilla.org/en-US/firefox/addon/coder-calendar/,Firefox Add-on,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://uva.onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8,UVa Online Judge,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://wjmzbmr.com/,WJMZBMR (Chinese),https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bnuoj.com/v3/,BNU Online Judge,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://uva.onlinejudge.org/,UVa,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://code.google.com/codejam/,Google Code Jam,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.mii.lt/olympiads_in_informatics/index.html,OLYMPIADS IN INFORMATICS,https://github.com/lnishan/awesome-competitive-programming#readme,Competitive Programming error: <HTTPError 404: 'Not Found'> | reason: Not Found
