https://gitorious.org/imageutilities,ImageUtilities,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)')) | reason: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1076)
http://web.engr.illinois.edu/~taoxie/advice.htm,Resource collection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.csee.wvu.edu/~xinl/reproducible_research.html,Source Code Collection for Reproducible Research,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.openslam.org/,openSLAM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
http://inside.mines.edu/~whoff/courses/EENG512/,EENG 512 / CSCI 512 - Computer Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.ubc.ca/research/flann/,FLANN - Fast Library for Approximate Nearest Neighbors,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.tc.umn.edu/~baixx015/,Geodesic Segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.gris.informatik.tu-darmstadt.de/projects/floating-scale-surface-recon/,Floating Scale Surface Reconstruction,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://inf.ufrgs.br/~eslgastal/AdaptiveManifolds/,Adaptive Manifold,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://www.mit.edu/~kimo/publications/intrinsic/,Ground-truth dataset and baseline evaluations for intrinsic image algorithms,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.technologyreview.com/video/426265/meet-2011-tr35-winner-noah-snavely/,The Distributed Camera,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.stat.rice.edu/~gallen/stat640.html,Statistical Learning,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pascallin.ecs.soton.ac.uk/challenges/VOC/,The PASCAL Visual Object Classes,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://iris.usc.edu/Vision-Notes/bibliography/contents.html,Annotated Computer Vision Bibliography,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://iris.usc.edu/Information/Iris-Conferences.html,Calendar of Computer Image Analysis, Computer Vision Conferences,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://code.google.com/p/ratslam/,RatSLAM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://commacoloring.herokuapp.com/,Comma Coloring,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.robots.ox.ac.uk/~vedaldi/code/siftpp.html,SIFT++,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://web.engr.illinois.edu/~dhoiem/projects/software.html,Geometric Context,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://stanford.edu/class/ee364a/,Convex Optimization I,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: timeout('timed out') | reason: 
http://registry.gimp.org/node/27986,GIMP Resynthesizer,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://web.engr.illinois.edu/~dhoiem/software/counter.php?Down=varsha_spatialLayout.zip,Recovering Spatial Layout,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://coewww.rutgers.edu/riul/research/code/EDISON/,Mean Shift Segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.vision.ee.ethz.ch/boostingTrackers/,Online-boosting Tracking,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cvlab.epfl.ch/data/pose,EPFL Car Dataset,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://hci.iwr.uni-heidelberg.de/Links/German_Vision/,German Computer Vision Research Groups & Companies,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.engineering.upm.ro/master-ie/sacpi/mat_did/info068/docum/Neural%20Networks%20for%20Pattern%20Recognition.pdf,Neural Networks for Pattern Recognition,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.cityu.edu.hk/~qiyang/publications/eccv-12/,Recursive Bilateral Filtering,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pgm.stanford.edu/,Probabilistic Graphical Models: Principles and Techniques,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.asl.ethz.ch/people/lestefan/personal/BRISK,BRISK,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pascal.inrialpes.fr/soft/olt/,INRIA Object Detection and Localization Toolkit,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.shengfenghe.com/visual-tracking-via-locality-sensitive-histograms.html,Locality Sensitive Histograms,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://collab.cc.gatech.edu/borg/gtsam/,GTSAM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'collab.cc.gatech.edu'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'collab.cc.gatech.edu'. (_ssl.c:1076)
http://www.vsi.cs.uni-frankfurt.de/research/current-projects/research/superpixel-segmentation/,Contour Relaxed Superpixels,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://homes.cs.washington.edu/~shanqi/work/spvdeconv/,Spatially variant non-blind deconvolution,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www-hagen.informatik.uni-kl.de/~bertram/talks/getpublished.pdf,How to Write a Great Paper,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.csie.ntu.edu.tw/~cjlin/libsvm/,LIBSVM -- A Library for Support Vector Machines,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://personal.ee.surrey.ac.uk/Personal/Z.Kalal/tld.html,TLD: Tracking - Learning - Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://clickdamage.com/sourcecode/cv_datasets.php,CV datasets,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: timeout('timed out') | reason: 
http://optimization.mit.edu/classes.php,Optimization at MIT,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cg.postech.ac.kr/research/deconv_outliers/,Handling Outliers in Non-blind Image Deconvolution,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://link.springer.com/book/10.1007/978-0-387-31439-6,Computer Vision: A Reference Guide,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ivpe.com/freak.htm,FREAK,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://collab.cc.gatech.edu/borg/gtsam?destination=node%2F299,GTSAM: General smoothing and mapping library for Robotics and SFM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'collab.cc.gatech.edu'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'collab.cc.gatech.edu'. (_ssl.c:1076)
http://cns.bu.edu/~lgrady/software.html,Random Walker,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://home.isr.uc.pt/~henriques/circulant/,Kernelized Correlation Filters,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.ics.uci.edu/~dramanan/software/sparse/,Histograms of Sparse Codes for Object Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
