https://designbycosmic.com/articles/development/craft-cms-ajax-page-transitions-with-history-pushstate,Craft CMS AJAX Page Transitions with history.pushState,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://taechogroup.com/blog/10-reasons-why-we-love-craft-cms,10 Reasons Why We Love Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://rias.be/blog/enforcing-better-passwords-in-craft-cms,Enforcing better passwords in Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://designbycosmic.com/articles/development/why-we-use-craft-cms,Why We Use Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@galaxyweblinks/how-to-get-started-with-seo-in-craft-cms-b6eef51a5555,How To Get Started With SEO In Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 410: 'Gone'> | reason: Gone
https://rias.be/blog/sending-notifications-to-slack-and-other-channels-with-craft-cms,Sending notifications to Slack and other channels with Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.fostercommerce.com/podcast,Commerce Minded,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://welfordmedia.co.uk/blog/design-development/we-love-craft-cms,Why We've Fallen Head Over Heels for Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@galaxyweblinks/debug-tool-in-craft-3-heres-all-you-need-to-know-about-it-be8a3395ebbd,Debug Tool in Craft 3: Here’s all you need to know about it,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 410: 'Gone'> | reason: Gone
https://medium.com/@galaxyweblinks/craft-cms-vs-wordpress-why-choose-craft-7a557cdb604d,Craft CMS Vs WordPress: Why Choose Craft?,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 410: 'Gone'> | reason: Gone
https://craftx.io/,CraftX,https://github.com/craftcms/awesome#readme,Craft CMS error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://designbycosmic.com/articles/development/craft-cms-content-builder-the-client-experience,Craft CMS Content Builder: The Client Experience,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://discord.me/craftcms,Discord,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mijingo.com/lessons/contact-form-in-craft-cms/,Contact Form in Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
http://www.pbs.org/parents/child-development/social-emotional,PBS Parents,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mijingo.com/blog/using-macros-in-twig-and-craft,Using Macros in Twig and Craft,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/lessons/passing-data-with-the-twig-include-statement/,Passing Data with Twig Include,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/blog/using-twig-range-to-create-an-age-drop-down,Creating an Age Drop-down with Twig range(),https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/blog/3-things-to-know-about-craft-plugin-development,3 Things to Know About Craft Plugin Development,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/blog/11-things-you-need-to-know-about-craft-3,11 Things You Need to Know About Craft 3,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/lessons/upgrade-to-craft-cms-3/,Upgrading Craft 2 to Craft 3,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
https://mijingo.com/products/bundles/craft-starter-pack/,Craft Starter Pack,https://github.com/craftcms/awesome#readme,Craft CMS error: timeout('The read operation timed out') | reason: 
