https://tessel.io/,Tessel,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)
http://codepen.io/,CodePen,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://codepen.io/mcdorli/post/generating-geometry-part-1-basics,Generating Geometry: 1,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://100r.co/pages/orca.html,Orca,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://codepen.io/mcdorli/post/generating-geometry-part-2-going-3d,2,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://openjscad.org,OpenJSCAD,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://codepen.io/mcdorli/post/generating-geometry-part-3-getting-spherical,3,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://synopsis.video/,Synopsis,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
http://setimeout.com/workshops/gobelins-2016/,Draw. Move. Fail. Repeat.,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.pshkvsky.com/gif2code/sine-animation-tutorial-three-js/,Three.js sine animation,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.artstation.com/artwork/YeBr3,The newbie's PBR Cheat Sheet,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://blog.2pha.com/experimenting-threejs-shaders-and-shadermaterial,Experimenting with Three.js shaders and the ShaderMaterial,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pixelnodes.app/,Pixel Nodes,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:1123)')) | reason: EOF occurred in violation of protocol (_ssl.c:1123)
http://www.pshkvsky.com/gif2code/sinewaves-animation-tutorial-openframeworks/,oF version,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://mrl.nyu.edu/~perlin/bubble_breakdown/,Bubble Breakdown,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
http://basiljs.ch/,basil.js,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://codedoodl.es/,Codedoodl.es,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://codepen.io/DonKarlssonSan/post/particles-in-simplex-noise-flow-field,Particles in a Simplex Noise Flow Field,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.hypeframework.org/,HYPE,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://davidscottlyons.com/threejs/presentations/frontporch14/,Intro to WebGL Slides,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.neilblevins.com/cg_education/procedural_noise/procedural_noise.html,Procedural Patterns And Noises,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://inconvergent.net/shepherding-random-numbers/,Shepherding random numbers,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.hugi.scene.org/online/hugi37/hugi%2037%20-%20coding%20adok%20on%20ray%20casting,%20ray%20tracing,%20ray%20marching%20and%20the%20like.htm,On ray casting, ray tracing, ray marching and the like,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nextart.tech/,NextArt Night,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.i-score.org,i-score,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://sunandblackcat.com/other.php?l=eng,Sun and Black Cat,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
