http://www.deartechpeople.com,Dear Tech People,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.sarawb.com/technically-wrong/,Technically Wrong: Sexist Apps, Biased Algorithms, And Other Threats Of Toxic Tech,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hub.wiley.com/community/exchanges/educate/blog/2017/03/05/i-m-not-your-guy-dude-why-language-really-does-matter,I'm Not Your Guy, Dude: Why Language Really Does Matter,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.ajlunited.org/,Algorithmic Justice League,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: timeout('The read operation timed out') | reason: 
https://www.elixir-with-love.com/,Elixir With Love,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://www.girldevelopit.com/,Girl Develop It,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://www.peopleofcreativity.xyz/,People Of Creativity,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://phpwomen.org,PHP Women,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sheplusplus.org,She++,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sheplusplus.org'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sheplusplus.org'. (_ssl.c:1076)
http://www.kaporcenter.org/,Kapor Center,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.os4w.org,OS4W,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.washingtonpost.com/graphics/2017/business/women-pay-gap/,Can We Talk About The Gender Pay Gap?,https://github.com/folkswhocode/awesome-diversity#readme,Diversity error: timeout('The read operation timed out') | reason: 
