https://sysdig.com/products/monitor/,Sysdig Monitor,https://github.com/veggiemonk/awesome-docker#readme,Docker error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://sysdig.com/products/kubernetes-security/runtime-security/,Sysdig Secure,https://github.com/veggiemonk/awesome-docker#readme,Docker error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.manning.com/books/learn-docker-in-a-month-of-lunches,Learn Docker in a Month of Lunches,https://github.com/veggiemonk/awesome-docker#readme,Docker error: <HTTPError 500: ''> | reason: 
http://docker-br.herokuapp.com,Docker BR on Slack,https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('timed out') | reason: 
https://aws.amazon.com/ecs/,Amazon ECS,https://github.com/veggiemonk/awesome-docker#readme,Docker error: URLError(ConnectionResetError(54, 'Connection reset by peer')) | reason: [Errno 54] Connection reset by peer
https://blog.alexellis.io/docker-does-sql2016-aspnet/,Docker with Microsoft SQL 2016 + ASP.NET,https://github.com/veggiemonk/awesome-docker#readme,Docker error: URLError(ConnectionResetError(54, 'Connection reset by peer')) | reason: [Errno 54] Connection reset by peer
https://gitlab.com/masaeedu/docker-client,Docker Client TypeScript,https://github.com/veggiemonk/awesome-docker#readme,Docker error: URLError(ConnectionResetError(54, 'Connection reset by peer')) | reason: [Errno 54] Connection reset by peer
http://dockone.io/people/%E6%9D%8E%E9%A2%96%E6%9D%B0,@LiYingJie,https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('timed out') | reason: 
https://www.flexera.com/blog/cloud/docker-vs-vms-combining-both-for-cloud-portability-nirvana/,Docker vs. VMs? Combining Both for Cloud Portability Nirvana,https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('The read operation timed out') | reason: 
https://www.appdynamics.com/community/exchange/extension/docker-monitoring-extension/,AppDynamics,https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('The read operation timed out') | reason: 
https://developers.redhat.com/blog/2018/02/22/container-terminology-practical-introduction/,Practical Introduction to Container Terminology,https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('The read operation timed out') | reason: 
https://www.se-radio.net/2017/05/se-radio-episode-290-diogo-monica-on-docker-security/,Software Engineering Radio interview of Docker Security Team Lead (Diogo Mónica),https://github.com/veggiemonk/awesome-docker#readme,Docker error: timeout('The read operation timed out') | reason: 
