https://www.gitprime.com/engineering-impact/,Engineering Impact,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://newsletter.fullstackreact.com/,Fullstack React,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 523: 'Unknown'> | reason: Unknown
http://newsletter.fullstackreact.com/issues,Archive,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 523: 'Unknown'> | reason: Unknown
https://realusers.club,realusers.club,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://indieiosfocus.com/issues,Archive,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.microservicesweekly.com/,MicroServices Weekly,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://ponyfoo.com/weekly,Pony Foo Weekly,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
http://hackingrevenue.com/,Hacking Revenue,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.actreact.io,ActReact,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.nosqlweekly.com/,NoSQL Weekly,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://www.manifold.co/stratusupdate,Stratus Update,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://solofounder.dev/,Solo Founder,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://importpython.com/newsletter/,Weekly Python Newsletter,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://www.getrevue.co/profile/golang,Master the World of Golang,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://importpython.com/newsletter/archive/,Archive,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://dataprism.co/,Data Prism,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://ponyfoo.com/weekly/history,Archive,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://insnippets.com,Insnippets,https://github.com/zudochkin/awesome-newsletters#readme,Email Newsletters error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
