https://geeks.uniplaces.com/how-to-keep-your-ember-js-project-clean-and-well-structured-fbff040274de,How to keep your ember.js project clean and well-structured,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.pzuraq.com/ember-octane-update-action/,Ember Octane Update: What's up with @action?,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://crates.io,crates.io,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.pzuraq.com/ember-octane-update-landing-decorators/,Ember Octane Update: Landing Decorators,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.youtube.com/user/EmberSherpa/videos,EmberSherpa,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.pzuraq.com/ember-octane-update-async-observers/,Ember Octane Update: Async Observers,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://pragprog.com/book/mwjsember/deliver-audacious-web-apps-with-ember-2,Deliver Audacious Web Apps with Ember.js 2,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.pzuraq.com/emberjs-native-class-update-2019-edition/,Ember.js Native Class Update: 2019 Edition,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://thetechcofounder.com/getting-started-with-ember/,Getting Started with Ember.js using Ember CLI,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://sivasubramanyam.me/emberjs-shipping-different-bundles/,Shipping Ember.js bundles based on the user's browser,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sivasubramanyam.me'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'sivasubramanyam.me'. (_ssl.c:1076)
https://www.pzuraq.com/coming-soon-in-ember-octane-part-1-native-classes/,Coming Soon in Ember Octane - Part 1: Native Classes,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://vimeo.com/globalembermeetup,Global Ember Meetup,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.pzuraq.com/coming-soon-in-ember-octane-part-2-angle-brackets-and-named-arguments/,Coming Soon in Ember Octane - Part 2: Angle Brackets Syntax & Named Arguments,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.pzuraq.com/coming-soon-in-ember-octane-part-3-tracked-properties/,Coming Soon in Ember Octane - Part 3: Tracked Properties,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://emberwatch.com/screencasts.html,EmberWatch - Screencasts,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: timeout('timed out') | reason: 
https://www.pzuraq.com/coming-soon-in-ember-octane-part-4-modifiers/,Coming Soon in Ember Octane - Part 4: Modifiers,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.pzuraq.com/coming-soon-in-ember-octane-part-5-glimmer-components/,Coming Soon in Ember Octane - Part 5: Glimmer Components,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://cenchat.com/blog/2019/05/25/using-lerna-to-manage-multiple-ember-apps.html,Using Lerna to manage multiple Ember.js apps,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 410: 'Gone'> | reason: Gone
https://www.kennethlarsen.org/how-to-contribute-to-the-ember-times,How to contribute to the ember times - part1,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.kennethlarsen.org/how-to-contribute-ember-release-post,How to contribute ember release post - part2,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://cenchat.com/blog/2019/06/06/how-to-setup-ember-fastboot-in-cloud-functions-for-firebase.html,How to integrate Ember FastBoot in Cloud Functions for Firebase,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 410: 'Gone'> | reason: Gone
https://pulletsforever.com/ember-fastboot-google-app-engine-1d38e1e3ffc2,Ember FastBoot + Google App Engine,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://octane-ecommerce.herokuapp.com/,d,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: timeout('The read operation timed out') | reason: 
https://ember.glitch.me/,Ember @ Glitch,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: timeout('The read operation timed out') | reason: 
