https://madewithlove.be/one-job-many-roles-the-different-skills-needed-to-be-a-successful-cto/,The different skills needed to be a successful CTO,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://amzn.com/0140280197/?tag=kevideld-20,The 48 Laws of Power,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=2439478,Salaries never stay secrets forever. Hiding them only delays the inevitable.,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=17329028,If I Close My Data Centers, What About the People/Jobs Lost?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://leonardofed.io/blog/startups-hiring.html,Hire people who aren't proven,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://news.ycombinator.com/item?id=4324615,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20220484,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/0345504194/?tag=kevideld-20,Who, a popular book,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=21900054,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://growth.design/psychology/,The Psychology of Design,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 308: 'Unknown'> | reason: Unknown
https://news.ycombinator.com/item?id=23973859,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=19188246,“That's usually about the time I nope right out of the interview”,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20881308,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21868845,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=23891984,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=5541517,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=13209317,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=28517976,full transcript,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=24802483,A vitally important part of the job: being a crap shield,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/B01069X4H0/?tag=kevideld-20,7 habits of highly effective people,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=20230133,What are the signs that you have a great manager?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21925738,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=17448035,On VC funding and huge growth,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20683609,source,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=23445535,Choose Well-known Technology,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=21069178,trick to handle expectation of unreasonable estimates,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://news.ycombinator.com/item?id=20786755,Colleague is leaving. How to investigate what went wrong?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.wired.com/story/amazon-wants-to-win-at-games-so-why-hasnt-it/,Amazon Wants to 'Win at Games.' So Why Hasn't It?,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://amzn.com/0060845791/?tag=kevideld-20,from David Packard,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=21231455,Some reasons why enterprise software is good and maybe even fun,https://github.com/kdeldycke/awesome-engineering-team-management#readme,Engineering Team Management error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
