https://www.goodreads.com/book/show/2767793-the-hero-of-ages,The Hero of Ages,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/15999003-inherit-the-night,Inherit the Night,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/400899.Soldiers_Live,Soldiers Live,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/153008.Kushiel_s_Dart,Kushiel's Dart,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.imdb.com/title/tt0120737/,The Fellowship of the Ring,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('timed out') | reason: 
https://www.goodreads.com/series/43531-gentleman-bastard,The Gentleman Bastards Series,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/119495.Dread_Mountain,Dread Mountain,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/140671,Black Company,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/17332218-words-of-radiance,Words of Radiance,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/45112.Assassin_s_Quest,Assassin's Quest,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/author/show/15307132.Cat_Seaton,Cat Seaton,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/10803121-the-alloy-of-law,The Alloy of Law,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/18392.The_Lost_Years,The Lost Years of Merlin,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/43790-a-song-of-ice-and-fire,A Song of Ice and Fire,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,The Lion, The Witch, and The Wardrobe,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/13890.A_Crown_of_Swords,A Crown of Swords,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/series/43493-the-malazan-book-of-the-fallen,The Malazan Book Of The Fallen,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,The Ocean at the End of the Lane,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/8447255-the-crippled-god,The Crippled God,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/12499290-the-blinding-knife,The Blinding Knife,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/34002132-oathbringer,Oathbringer,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/1321351.The_Bastards_and_the_Knives,The Bastards and the Knives,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms,The Hundred Thousand Kingdoms,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/author/show/7989199.Kit_Seaton,Kit Seaton,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/887858.Divided_Allegiance,Divided Allegiance,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/386372.Mort,Mort,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/119492.The_Valley_of_the_Lost,The Valley of the Lost,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy,The Horse and His Boy,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/18396.The_Seven_Songs_of_Merlin,The Seven Songs of Merlin,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/140671.The_Black_Company,The Black Company,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/sl/book/show/18924206-the-time-of-contempt,Time of Contempt,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://en.wikipedia.org/wiki/The_Kingkiller_Chronicle,The Kingkiller Chronicle,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('timed out') | reason: 
https://www.goodreads.com/book/show/92623.Orsinian_Tales,Orsinian Tales,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon,Gardens of the Moon,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,The Lies of Locke Lamora,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
http://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
https://www.goodreads.com/book/show/18739426-the-bands-of-mourning,The Bands of Mourning,https://github.com/RichardLitt/awesome-fantasy#readme,Fantasy error: timeout('The read operation timed out') | reason: 
