http://intheloup.io,Loup,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.linkedin.com/company/apptree-software/,AppTree Software,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 999: 'Request denied'> | reason: Request denied
http://goposse.com,Posse,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://denniskrasnov.com,Dennis Krasnov,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1123)
https://www.2dimensions.com/,2D, Inc,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.linkedin.com/in/alextekartik/,Alexandre Roux,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 999: 'Request denied'> | reason: Request denied
http://fluttericon.com/,FlutterIcon,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fluttericon.com'. (_ssl.c:1123)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fluttericon.com'. (_ssl.c:1123)
https://darshann.me/,Darshan Gowda,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://bratan.me,Florin Bratan,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://www.meetup.com/Flutter-Hamburg/,Hamburg,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://flutteritalia.dev,flutteritalia.dev,https://github.com/Solido/awesome-flutter#readme,Flutter error: timeout('The read operation timed out') | reason: 
https://www.meetup.com/pl-PL/Flutter-Tricity/,Tricity,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.meetup.com/Flutter-Kurdistan/,Kurdistan,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/company/Flutter-Munich,Munich,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 999: 'Request denied'> | reason: Request denied
https://www.linkedin.com/in/robert-felker/,Robert Felker,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 999: 'Request denied'> | reason: Request denied
https://www.meetup.com/FlutterCalgary,Calgary,https://github.com/Solido/awesome-flutter#readme,Flutter error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://flutter.madrid,Madrid Community,https://github.com/Solido/awesome-flutter#readme,Flutter error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
