http://www.womoz.org/blog/,Womoz,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.blackhoodie.re/,BlackHoodie,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.blackhoodie.re'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.blackhoodie.re'. (_ssl.c:1076)
https://girls4tech.ebanx.com/,Girls4Tech,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://live.cs50.net/wecode,https://live.cs50.net/wecode,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'live.cs50.net'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'live.cs50.net'. (_ssl.c:1076)
https://fedoraproject.org/wiki/Women,Fedora Women,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://os4w.org/,OS4W,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.innotechconferences.com/dallas/about/women-in-tech-summit,Women in Tech Summit,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://phpwomen.org/,PHPWomen,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
https://mothership.hackermoms.org/,Mothership HackerMoms,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://anitas.com.br/,Anitas,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: timeout('timed out') | reason: 
http://oxentimenina.com.br,OxenTIMenina,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.shesharp.org/,SheSharp,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
