http://www.cutandfold.co/blog/2015/9/7/making-you-first-framer-prototype,Getting Started with Framer,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://coffeescript-for-framerjs.com,CoffeeScript for Framer,https://github.com/podo/awesome-framer#readme,Framer error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://www.cutandfold.co/blog/2015/9/8/building-your-first-prototype,Building Your First Prototype,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://codepen.io/collection/nRzzaZ/,Framer.js Workshop,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://framer.com/examples,Official Examples,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://framer.com/docs,Documentation,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://thatedchao.com/published/2014/10/27/framer.html,Framer Experiments by Ed Chao,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.sketchcasts.net/episodes/prototyping-with-framer-part-1,Prototyping with Framer,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://framerjs.com/learn/basics,Framer.js Official Basics,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://humaan.com/prototyping-with-framer/,Prototyping & Working with Framer,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://martenbjork.com/2016/05/managing-styles-and-css-in-framer/,Managing Styles and CSS in Framer,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.mapbox.com/blog/power-framer-prototype-with-mapbox/,Power your Framer prototypes with real location data,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://framer.com/blog/posts/how-to-create-high-quality-gifs,How to Create High‑Quality GIFs,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://generalassemb.ly/education/prototyping-with-framerjs,Prototyping With Framer.js,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 410: 'Gone'> | reason: Gone
https://framer.com/fiber/,Fiber,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://framer.com/voyage/,Voyage,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.lynda.com/FramerJS-tutorials/UX-Design-Tools-Framer/562923-2.html,Framer for UX Design,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://designers.how/topics/framer,designers.how Framer Courses,https://github.com/podo/awesome-framer#readme,Framer error: <HTTPError 530: ''> | reason: 
