https://www.coursera.org/course/gameprogramming,Coursera: Beginning Game Programming with C#,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://arnaud.ile.nc/cantree/generator.php,Tree Generator,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.gamemarketeers.com/,GameMarketeers,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://nemesis.thewavelength.net/index.php?p=8,Nem TG,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.google.com.br/admob/,AdMob by Google,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.pandajs.net/,PandaJS,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.cerberus-x.com/wordpress/,Cerberus X,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.brashmonkey.com/spriter.htm,Spriter,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://greenlitgaming.com/,Greenlit Gaming,https://github.com/ellisonleao/magictools#readme,Game Development error: timeout('timed out') | reason: 
http://p1.untergrund.net,project one,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://getmoai.com/,MOAI,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.havok.com/vision-engine/,Havok Vision,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.humanbalance.net/gale/us/,GraphicsGale,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.blend4web.com/,Blend4Web,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.revmobmobileadnetwork.com/,RevMob,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.kiwijs.org/,KiwiJS,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.qiciengine.com/,QICI,https://github.com/ellisonleao/magictools#readme,Game Development error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.eyelead.com/hive/,Hive3D,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.indievault.it/,indievault,https://github.com/ellisonleao/magictools#readme,Game Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
