http://frenesicafe.com,http://frenesicafe.com,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://activspaces.com,https://activspaces.com,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
https://her.is/2qR96l4,Kongens gate 6,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 301: 'Moved Permanently'> | reason: Moved Permanently
https://https//www.costa.co.uk/,https://https://www.costa.co.uk/,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://istanbulhs.org,https://istanbulhs.org,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
https://istanbulhs.org/wiki/iletisim/,Eğitim Mh. Muratpaşa Cd. Altay Apt. No:11/A Kadıköy,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
http://cafefatoljen.com,http://cafefatoljen.com,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://www.facebook.com/CafeShopSouthPigalle,https://www.facebook.com/CafeShopSouthPigalle,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.osscafe.net/ja/,http://www.osscafe.net/ja/,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://copenhagencoffeelab.com/cafe-at-rua-nova-da-piedade/,http://copenhagencoffeelab.com/cafe-at-rua-nova-da-piedade/,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://facebook.com/lugar34,https://facebook.com/lugar34,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.merceariadocampo.pt/en_GB/,http://www.merceariadocampo.pt/en_GB/,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.tripadvisor.com/Restaurant_Review-g187147-d1171207-Reviews-Le_Progres-Paris_Ile_de_France.html,http://www.tripadvisor.com/Restaurant_Review-g187147-d1171207-Reviews-Le_Progres-Paris_Ile_de_France.html,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: timeout('timed out') | reason: 
https://www.zomato.com/whiteboardcafe,Zomato,https://github.com/daviddias/awesome-hacking-locations#readme,Hacking Spots error: timeout('The read operation timed out') | reason: 
