http://crackmes.de/,Crackmes.de,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://n0where.net/best-linux-penetration-testing-distributions/,Best Linux Penetration Testing Distributions @ CyberPunk,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.hackthissite.org/,Hack This Site!,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1123)
https://n0where.net/wifijammer/,Wifi Jammer,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.guidancesoftware.com/products/Pages/encase-forensic/overview.aspx,EnCase,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bugcrowd.com/,Bugcrowd,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://amzn.com/144962636X,Rookit Arsenal,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://servicos.dpf.gov.br/ferramentas/IPED/,IPED - Indexador e Processador de Evidências Digitais,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)
http://codeengn.com/challenges/,CodeEngn,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.plaidctf.com/,Pliad CTF,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://ctf.codegate.org/html/Main.html?lang=eng,Codegate CTF,https://github.com/carpedm20/awesome-hacking#readme,Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
