https://bruteforcelab.com/kippo-graph,Kippo-Graph,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://man.openbsd.org/cgi-bin/man.cgi?query=spamd%26apropos=0%26sektion=0%26manpath=OpenBSD+Current%26arch=i386%26format=html,spamd,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://threatstream.github.io/mhn/,Modern Honeynet Network,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.honeynet.org/project/WiresharkExtensions,Whireshark Extensions,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.honeynet.org/project/Trigona,Trigona,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.honeynet.org/node/773,Honeysink,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/zaccone/quechua,Quechua,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sysdig.com/opensource/,Sysdig,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://bruteforcelab.com/kippo2mysql,Kippo2MySQL,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bruteforcelab.com/kippo2elasticsearch,Kippo2ElasticSearch,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://malwr.com/,malwr.com,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://bruteforcelab.com/kippo-malware,Kippo-Malware,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://projects.honeynet.org/honeysnap/,Honeysnap,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
http://artemisa.sourceforge.net,Artemnesia VoIP,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('timed out') | reason: 
https://redmine.honeynet.org/projects/linux-capture-hpc/wiki,Capture-HPC-Linux,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
http://www.nepenthespharm.com/,PHARM,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://bruteforcelab.com/honeyd2mysql,Honeyd2MySQL,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bruteforcelab.com/honeyd-viz,Honeyd-Viz,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://longtail.it.marist.edu/honey/,LongTail Log Analysis @ Marist College,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://projects.honeynet.org/hflow,HFlow2,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
https://projects.honeynet.org/honeywall/,Honeywall,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
https://bruteforcelab.com/honeydrive,HoneyDrive,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://projects.honeynet.org/capture-hpc,Capture-HPC,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
https://redmine.honeynet.org/projects/honeeepi/wiki,Honeeepi,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
https://www.honeynet.org/node/315,Capture BAT,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.secviz.org/node/89,DAVIX,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.atomicsoftwaresolutions.com/,HoneyBOT,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://projects.honeynet.org/honeyc,HoneyC,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: timeout('The read operation timed out') | reason: 
