https://codepen.io/tag/less/,More...,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/MamayAlexander/pen/aAsiq,3D Buttons,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/eky/pen/dCmnp,Border Radiuses Mixin,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/bitmap/pen/eBbHt,CSS3 Color Wheel,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/ericrasch/pen/uGlvA,DEMO: Variables,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/octavioamu/pen/zJexw,Easy Buttons,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/eky/pen/eAnCI,Linear Gradient Mixin,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/lukasdietrich/pen/mkeAJ,Navbar,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://demo-iless.rhcloud.com/,ILess,https://github.com/LucasBassetti/awesome-less#readme,Less error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://codepen.io/mecarter/pen/idKqg,Responsive Grid,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/ericrasch/pen/rndaF,Sizable CSS-only Icons,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codepen.io/eky/pen/AaCwF,Triangle / Arrow Mixin,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://less.eten.vn/,Vietnamese,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://lessphp.gpeasy.com/demo,LessPHP,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.lesscss.de,German,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://bertzzie.com/post/7/dokumentasi-less-bahasa-indonesia,Indonesian,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 526: ''> | reason: 
http://less-css.ir,Iranian,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://less-ja.studiomohawk.com/,Japanese,https://github.com/LucasBassetti/awesome-less#readme,Less error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.packtpub.com/web-development/instant-less-css-preprocessor-how-instant,Instant Less CSS Preprocessor How-to,https://github.com/LucasBassetti/awesome-less#readme,Less error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pdf.th7.cn/down/files/1508/Less%20Web%20Development%20Essentials,%202nd%20Edition.pdf,Less Web Development Essentials,https://github.com/LucasBassetti/awesome-less#readme,Less error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
