https://bitbucket.org/nato/yanni/overview,Yanni,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://app.neptune.ml/neptune-ml/Google-AI-Object-Detection-Challenge,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://nlp.stanford.edu/software/tmt,Stanford Topic Modeling Toolbox,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: <HTTPError 404: 'NOT FOUND'> | reason: NOT FOUND
https://app.neptune.ml/neptune-ml/Salt-Detection,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://imbalanced-learn.org/en/stable/index.html,imbalanced-learn,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://visualml.io,visualml.io,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://app.neptune.ml/neptune-ml/Ships,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://pythonhosted.org/mrjob/,mrjob,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://app.neptune.ml/neptune-ml/Data-Science-Bowl-2018,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://app.neptune.ml/neptune-ml/Santander-Value-Prediction-Challenge,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://haifengl.github.io/smile/,Smile,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pygal.org/en/stable/,pygal,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: timeout('timed out') | reason: 
https://app.neptune.ml/neptune-ml/Home-Credit-Default-Risk,experiments results,https://github.com/josephmisiti/awesome-machine-learning#readme,Machine Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
