https://people.math.gatech.edu/~herod/Hspace/Hspace.html,Linear Algebra, Infinite Dimensions, and Maple,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.math.clemson.edu/~jimlb/Teaching/2009-10/Math986/Topology.pdf,Introductory Topology,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.gold-saucer.org/math/lebesgue/lebesgue.pdf,A Crash Course on the Lebesgue Integral and Measure Theory,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://www.maths.gla.ac.uk/~ajb/dvi-ps/Galois.pdf,An Introduction to Galois Theory,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://homepages.uc.edu/~martinj/Symbolic_Logic/341%20Syllabus,%20Textbook,%20Handouts,%20Notes/LPL%20textbook.pdf,Language, Proof, and Logic,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ohio.edu/people/ehrlich/ConwayNames.pdf,Conway names, the simplicity hierarchy and the surreal number tree,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.math.ucdavis.edu/~hunter/measure_theory/measure_notes.pdf,Measure Theory,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://zodml.org/sites/default/files/Introduction_to_Abstract_Algebra_0.pdf,Introduction to Abstract Algebra,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.maths.manchester.ac.uk/~cwalkden/complex-analysis/complex_analysis.pdf,Complex Analysis,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.iiserpune.ac.in/~ayan/MTH312/%28127%29.pdf,Elementary Number Theory,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www2.bc.edu/mark-reeder/Groups.pdf,Notes on Group Theory,https://github.com/rossant/awesome-math#readme,Math error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.seas.upenn.edu/~jean/diffgeom.pdf,Notes on Differential Geometry and Lie Groups,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.man.ac.uk/~hsimmons/zCATS.pdf,An Introduction to Category Theory,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.math.nus.edu.sg/~matwujie/ma5209.pdf,Lecture Notes on Algebraic Topology,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.khanacademy.org/math,Khan Academy,https://github.com/rossant/awesome-math#readme,Math error: timeout('The read operation timed out') | reason: 
http://www.sci.ccny.cuny.edu/~ksda/PostedPapers/rickksda1107.pdf,A Brief Introduction to Algebraic Geometry,https://github.com/rossant/awesome-math#readme,Math error: timeout('timed out') | reason: 
https://www.math.ucdavis.edu/~linear/,Linear Algebra,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.math.uchicago.edu/~schlag/harmonicnotes.pdf,Harmonic Analysis,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://webdocs.cs.ualberta.ca/~sutton/book/bookdraft2016sep.pdf,Reinforcement Learning: An Introduction,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.math.ucdavis.edu/~hunter/intro_analysis_pdf/intro_analysis.pdf,An Introduction to Real Analysis,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.math.umd.edu/~dlevy/books/na.pdf,Introduction to Numerical Analysis,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.math.ucdavis.edu/~hunter/pdes/pde_notes.pdf,Notes on Partial Differential Equations,https://github.com/rossant/awesome-math#readme,Math error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://logic.stanford.edu/intrologic/secondary/index.html,Introduction to Logic,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.math.duke.edu/~rtd/PTE/PTE4_1.pdf,Probability: Theory and Examples,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.math.lmu.de/~philip/publications/lectureNotes/ODE.pdf,Ordinary Differential Equations,https://github.com/rossant/awesome-math#readme,Math error: <HTTPError 404: 'Not Found'> | reason: Not Found
