https://www.curseforge.com/minecraft/mc-mods/optifabric,OptiFabric,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/draconic-evolution,Draconic Evolution,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/rftools,RFTools,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/diet-hoppers,Diet Hopper,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://betacraft.pl/server-archive/minecraft/,BetaCraft Archive,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest,Twilight Forest,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/journeymap,Journey Map,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.spigotmc.org/,Spigot,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://www.curseforge.com/minecraft/mc-mods/ender-io,Ender IO,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/carpenters-blocks,Carpenter's Blocks,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/extreme-reactors,Extreme Reactors,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/foamfix-optimization-mod,FoamFix,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/voxelmap,VoxelMap,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/zetta-industries,Zetta Industries,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/chisel,Chisel,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
