https://popmotion.io/guides/basics/get-started/,Popmotion,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://facebook.github.io/origami/,Origami,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pinterest.com/jvetrau/gestures-transitions-animations/,Gestures, transitions, animations,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 308: 'Unknown'> | reason: Unknown
http://pinterest.com/JRMYLFBV/web-ui-animation/,Web UI animation,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 308: 'Unknown'> | reason: Unknown
http://pinterest.com/matthieuLrt/ux-ui-interaction-motion-design/,UX/UI interaction & Motion design,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 308: 'Unknown'> | reason: Unknown
http://pinterest.com/julient/animated-uxui/,Animated UX/UI,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 308: 'Unknown'> | reason: Unknown
http://impulse.luster.io/,Impulse,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://pinterest.com/CodeDesignIO/motion-ui/,Motion UI,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 308: 'Unknown'> | reason: Unknown
https://floid.io/,Floid,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://pavlyukpetr.com/awesome/,Awesome CSS3 animations,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@lukejones/a-designers-guide-to-the-perception-of-performance-fedb4bd102b,A Designer’s Guide to Perceived Performance,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 410: 'Gone'> | reason: Gone
http://getmwf.com/styles/motion.html,Microsoft web framework: Motion,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ibm.com/design/language/framework/animation/introduction,IBM Design Language – Animation design guidelines,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.adobe.com/products/aftereffects.htm,Adobe After Effects,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.lightningdesignsystem.com/design/motion/,SalesForce Lightning,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://designthencode.com/,Motion Design for iOS,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
http://mtmograph.com/summits/,MtMograph summits,https://github.com/fliptheweb/motion-ui-design#readme,Motion UI Design error: <HTTPError 404: 'Not Found'> | reason: Not Found
