http://nexus.igraph.org/,Nexus,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://lra.le.ac.uk/bitstream/2381/36068/2/Draft%20BJM%20Revised%20(3rd%20iteration)%20Manuscript.pdf,preprint,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.netzwerk-exzellenz.uni-trier.de/,Forschungscluster der Universitäten Trier und Mainz “Gesellschaftliche Abhängigkeiten und soziale Netzwerke”,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://lynksoft.com/,Lynks,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://blog.netsciwestpoint.org/,blog,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://web.stanford.edu/group/sonia/,SoNIA - Social Network Image Animator,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://socio.ens-lyon.fr/merckle/merckle_communications_2008_cargese_reseaux_nuls_biblio.pdf,by Pierre Mercklé,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://complenet.org/,CompleNet - International Workshop on Complex Networks,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www-complexnetworks.lip6.fr/~latapy/Bip/,related code,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://www.studienverlag.at/data.cfm?vpath=openaccess/oezg-12012-lemercier&download=yes,Formale Methoden der Netzwerkanalyse in den Geschichtswissenschaften: Warum und Wie? [Formal Network Methods in History: Why and How?],https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://vanity.dss.ucdavis.edu/~maoz/networks/Spring%202011/pol279-11.htm,Political Networks: Methods and Applications,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://mr.schochastics.net/netVizR.html,Network Visualizations in R using ggraph and graphlayouts,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
http://arshs.hypotheses.org/,GDR ARSHS - GDR Analyse de réseaux en sciences humaines et sociales,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
https://blogs.k-state.edu/it-news/tag/nodexl/,The NodeXL Series,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
https://reshist.hypotheses.org/?s=res-hist,RES-HIST Conferences,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('The read operation timed out') | reason: 
http://www.visualcomplexity.com/vc/book/,book,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
http://muxviz.net/,MuxViz,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
http://www.sciencedirect.com/science/article/pii/S0378873304000036,Generalized Blockmodeling of Two-mode Network Data,https://github.com/briatte/awesome-network-analysis#readme,Network Analysis error: timeout('timed out') | reason: 
