http://anyaudio.in/,AnyAudio,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.scribblemaps.com/,ScribbleMaps,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://www.onlinevideoconverter.com/video-converter,Youtube Converter & Downloader,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
https://svg-edit.github.io/svgedit/releases/svg-edit-2.8.1/svg-editor.html,SVG-Edit,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://exif.regex.info/exif.cgi,Image Metadata Viewer,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.copypastecharacter.com/,CopyPasteCharacter,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://scr.im/,scr.im,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://acronymcreator.net/,Acronym Creator,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://podbay.fm/,Podbay,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.random.org/,RANDOM.ORG,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://videolink2.me/start,Videolink2,https://github.com/aviaryan/awesome-no-login-web-apps#readme,No-Login Web Apps error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
