http://www.pocketjavascript.com/blog/2015/11/23/introducing-pokedex-org,Introducing Pokedex.org: a progressive webapp for Pokémon fans,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://codingbox.io/do-you-need-service-worker-in-your-web-app-d68131d65e2c?gi=666f4385e803,Do you need Service Worker in your web app?,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://deanhume.com/home/blogpost/create-a-really--really-simple-offline-page-using-service-workers/10135,Create a really, really simple offline page using Service Workers,https://github.com/pazguille/offline-first#readme,Offline-First error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://speakerdeck.com/joselitojunior1/nobackend-e-offline-first-foque-em-criar-experiencias-number-frontinfortaleza,noBackend e Offline First: focusing on creating experiences (pt-br),https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developer.mozilla.org/en-US/docs/Web/HTML/Using_the_application_cache,ApplicationCache,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://offlinefirst.us4.list-manage1.com/subscribe?u=12d36bbe9418ed6a43127cd62&id=7fc00bfaef,The Offline First Reader,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://docs.google.com/presentation/d/1gDGIyGtXMSmtT8WsyXj7ADyUjNV679T1BF5QGEKqooc/mobilepresent,Offline-First Web Applications,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 410: 'Gone'> | reason: Gone
https://blog.yld.io/2017/03/01/optimize-with-http-2-server-push-and-service-workers,Optimize with HTTP/2 Server Push and Service Workers!,https://github.com/pazguille/offline-first#readme,Offline-First error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'blog.yld.io'. (_ssl.c:1123)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'blog.yld.io'. (_ssl.c:1123)
https://quickleft.com/blog/making-your-app-work-offline-tips-and-cautionary-tales/,Making Your App Work Offline: Tips and Cautionary Tales,https://github.com/pazguille/offline-first#readme,Offline-First error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://marcelkalveram.com/2013/11/developing-for-offline-first/,Making the web work offline first,https://github.com/pazguille/offline-first#readme,Offline-First error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://deanhume.com/Home/BlogPost/getting-started-with-the-service-worker-toolbox/10134,Getting started with the Service Worker Toolbox,https://github.com/pazguille/offline-first#readme,Offline-First error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
