http://codepen.io/juliangarnier/full/BsIih,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://b-train04.github.io/Project-Cube/projectCube/index.html,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://browserquest.mozilla.org/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://diz.es/snake/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://psiral.herokuapp.com/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://baruchel.insomnia247.nl/sudoku-js/sudoku.html,Play it now,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.adityaravishankar.com/projects/games/lastcolony/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://strykerkkd.github.io/SpaceInvaders/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.haxeflixel.com/,http://www.haxeflixel.com/,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://games.myviews.pl/heal-em-all/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.adityaravishankar.com/projects/games/command-and-conquer/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://khele.in/pappu-pakia/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://change-game.herokuapp.com/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.varunpant.com/static/resources/CrappyBird/index.html,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://committer.meteor.com/,Play it now!,https://github.com/leereilly/games#readme,Open Source Games error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
