https://code.google.com/p/duckduckdelphi,DuckDuckDelphi,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://bitbucket.org/uweraabe/pngcomponents,PngComponents,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/OCTAGRAM/delphi-yaml,delphi-yaml,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.synopse.info/post/2014/05/07/MongoDB-database-access,docs,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/NickHodges/delphi-unit-tests,Delphi Unit Tests,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://wiki.freepascal.org/pas2js,docs,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Bad Behavior'> | reason: Bad Behavior
http://andy.jgknet.de/blog/ide-tools/ddevextensions,DDevExtensions,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://andy.jgknet.de/blog/bugfix-units/vclfixpack-10,VCL Fix Pack,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://andy.jgknet.de/blog/ide-tools/ide-fix-pack,IDE Fix Pack,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://code.google.com/p/gmlibrary,GMLib,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.qdac.cc/QDAC3,www.qdac.cc/QDAC3,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/wpostma/dcpcrypt2010,DCPcrypt (fork #2),https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
