http://code.google.com/p/mandubian-play-google-closure/,Google Closure,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://mvnrepository.com/artifact/com.google.code.maven-play-plugin.org.playframework.modules.rythm/play-rythm,![mavenized](http://img.shields.io/badge/ -mavenized-blue.svg?style=flat),https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/hlassiege/play-nemrod,Navigation,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://apps.ebay.com/,Open eBay Application,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://mvnrepository.com/artifact/com.google.code.maven-play-plugin.org.playframework.modules.scala/play-scala,![mavenized](http://img.shields.io/badge/ -mavenized-blue.svg?style=flat),https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/psartini/play-jersey,Jersey,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.stax.net,http://www.stax.net,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.lunatech-labs.com/open-source/secure-permissions-play-module,Secure Permissions,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.lunatech-labs.com/open-source/resteasy-crud-play-module,RESTEasy CRUD module,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.lunatech-labs.com/open-source/resteasy-play-module,RESTEasy Play! module,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bitbucket.org/blobsmith/mocha/overview,Mocha,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://geeks.aretotally.in/rabbitmq-module-for-play-framework,RabbitMQ,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://code.google.com/p/jqvalidate-play-framework/,Jqvalidation,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: timeout('timed out') | reason: 
http://code.google.com/p/play-featureflags,Feature Flags,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: timeout('timed out') | reason: 
http://scalate.fusesource.org,Scalate,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://code.google.com/p/maven-play-plugin/wiki/Usage,how to use them,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: timeout('The read operation timed out') | reason: 
http://geeks.aretotally.in/projects/play-framework-linkedin-module,LinkedIn OAuth Authentication,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://geeks.aretotally.in/play-framework-module-elastic-search-distributed-searching-with-json-http-rest-or-java,ElasticSearch,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
