http://podcast.sysca.st/,Syscast Podcast,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.bnr.nl/cookiewall?target=%2Fprogrammas%2Fdigitaal,BNR: Digitaal,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bnr.nl/cookiewall?target=%2Fprogrammas%2Fde-technoloog,BNR: De Technoloog,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://phpdojeitocerto.tumblr.com/,PHP Do Jeito Certo,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://just4fun.io/,Just4Fun,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://www.embedded.fm/,Embedded.fm,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://gpodder.net/,gPodder Director,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://www.opensourcesecuritypodcast.com/,Open Source Security Podcast,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://frontflip.me/,Frontflip Podcast,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://imasters.com.br/perfil/databasecast/,DatabaseCast,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://simpleprogrammer.com/,Get Up and Code,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://chaosradio.de,Chaosradio,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
http://sixgun.org/linuxoutlaws/,Linux Outlaws,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('timed out') | reason: 
https://www.likeaboss.com.br,Like a Boss,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://logbuch-netzpolitik.de/,Logbuch:Netzpolitik,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://www.wnycstudios.org/shows/radiolab,Radiolab,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://www.dancarlin.com/hardcore-history-series/,HardcoreHistory,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: timeout('The read operation timed out') | reason: 
https://channel9.msdn.com/Shows/Azure-Friday,Azure Friday,https://github.com/ayr-ton/awesome-geek-podcasts#readme,Podcasts error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
