https://blog.polymer-project.org/,Blog,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://elements.polymer-project.org/browse?package=neon-elements,[Obsolete] Neon,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://poly-style.appspot.com/demo/,Polystyle,https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://elements.polymer-project.org/guides/using-elements,Using elements,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://elements.polymer-project.org/guides/flex-layout,Flexbox layout with iron-flex-layout,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://elements.polymer-project.org/guides/using-neon-animations,Using Neon Animations,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
http://polymer-slack.herokuapp.com/,Slack channel,https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://open-elements.org,open-elements,https://github.com/Granze/awesome-polymer#readme,Polymer error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://blog.charto.net/typescript/Taming-Polymer-with-SystemJS-and-TypeScript-part-1/,Taming Polymer with SystemJS and TypeScript,https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.revillweb.com/tutorials/web-components-with-es2015-es6/,Write web components with ES2015 (ES6),https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://paulusschoutsen.nl/blog/2015/07/using-polymer-with-flux-and-a-global-app-state/,Using Polymer with Flux and a global app state,https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bithound.io/blog/post/upgrading-to-polymer-10,Upgrading to 1.0,https://github.com/Granze/awesome-polymer#readme,Polymer error: <HTTPError 404: 'Not Found'> | reason: Not Found
