http://www.shiftedup.com/2015/05/07/five-programming-problems-every-software-engineer-should-be-able-to-solve-in-less-than-1-hour,Five programming problems every Software Engineer should be able to solve in less than 1 hour,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pangara.com/blog/cplusplus-interview-questions,25 Fundamental C++ Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pangara.com/blog/45-wordpress-interview-questions-and-answers,Top 45 WordPress interview questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://computernetworkingnotes.com/rhce-interview-questions/linux-interview-questions-answers.html,Some basic Linux questions from ComputerNetworkingNotes.com,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://andras.palfi.hu/iosobjc-interview-questions/,iOS/ObjC Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.upwork.com/i/interview-questions/ios/,10 iOS interview questions and answers,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.upwork.com/i/interview-questions/ruby-on-rails/,10 Ruby on Rails interview questions and answers,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.recruityourninja.com/technical-interview-questions-frontend-candidates/,An Annotated List of Frontend Developer Technical Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.recruityourninja.com/technical-interview-questions-backend-candidates/,An Annotated List of Backend Developer Technical Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.recruityourninja.com/technical-interview-questions-devops-candidates/,An Annotated List of DevOps Technical Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.recruityourninja.com/technical-interview-questions-data-scientist/,An Annotated List of Data Scientist Technical Interview Questions,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pangara.com/blog/70-jquery-interview-questions,70 jQuery Interview Questions to Ace Your Next Interview,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.rajeshg.me/2013/05/sharepoint-developer-2010-interview.html,Sharepoint Interview Question For Developer,https://github.com/MaximAbramchuck/awesome-interview-questions#readme,Programming Interviews error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
