http://www.d4d.orange.com/en/home,D4D Challenge of Orange,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.cvpapers.com/datasets.html/,CV Datasets on the web,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.clips.uantwerpen.be/datasets/csi-corpus,CLiPS Stylometry Investigation Corpus,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.clips.uantwerpen.be/datasets/personae-corpus,Personae Corpus,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.datacards.org/login/,Datacards,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://data.gov.ro/,Romania,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://homepages.inf.ed.ac.uk/rbf/CVonline/Imagedbase.htm/,Image Databases,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gso.gov.vn/Default_en.aspx?tabid=491,Statistics from the General Statistics Office of Vietnam - Data in [...],https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://vision.cs.duke.edu/DukeMTMC/,DukeMTMC Data Set - DukeMTMC aims to accelerate advances in multi-target [...],https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://numbrary.com/,Numbray,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://data.nasdaq.com/,NASDAQ,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://archive.org/details/2011-05-calufa-twitter-sql,Twitter Scrape Calufa May 2011,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://econ.sciences-po.fr/thierry-mayer/data,SciencesPo World Trade Gravity Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www3.cs.stonybrook.edu/~leman/data/gscholar.db,Google Scholar citation relations,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.m-ailabs.bayern/en/the-mailabs-speech-dataset/,M-AILabs Speech - The M-AILABS Speech Dataset is the first large dataset [...],https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.multimedia-computing.de/flickrlogos/,Flickr: 32 Class Brand Logos,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://openfmri.org/,OpenfMRI,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://www.freebase.com/,Freebase of people, places, and things,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.data360.org/index.aspx,Data360,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://fisher.osu.edu/fin/fdf/osudata.htm,OSU Financial data,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.eecs.wsu.edu/mgd/gdb.html,WSU Graph Database,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://jmcguire.faculty.wesleyan.edu/welcome/cross-national-data/,James McGuire Cross National Data,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cmr.osu.edu/browse/datasets,OSU Cognitive Modeling Repository Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://mldata.org/,Machine Learning Data Set Repository,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('timed out') | reason: 
http://www.ubos.org/unda/index.php/catalog,Uganda Bureau of Statistics,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
http://stanford.edu/group/sonia/dataSources/index.html,Stanford Longitudinal Network Data Sources,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://cvcl.mit.edu/MM/stimuli.html,Massive Visual Memory Stimuli, MIT,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://vocab.getty.edu,The Getty vocabularies,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://code.google.com/p/wiki-links/downloads/list,Wikipedia Links data - 40 Million Entities in Context,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://ensemblgenomes.org/info/genomes,Ensembl Genomes,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.yelp.com/dataset_challenge,Yelp Dataset Challenge,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://data.renfe.com,Renfe (Spanish National Railway Network) dataset,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://kaiwolf.no-ip.org/3d-model-repository.html,Several Shape-from-Silhouette Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://datasets.codeneuro.org/,CodeNeuro Datasets,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://data.brla.gov/,Baton Rouge, LA, US,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://data.stats.gov.cn/english/,China,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
http://caddy-underwater-datasets.ge.issia.cnr.it/,CADDY Underwater Stereo-Vision Dataset of divers' hand gestures - [...],https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
http://oak.dcs.shef.ac.uk/msm2013/challenge.html,Making Sense of Microposts 2013 - Concept Extraction,https://github.com/awesomedata/awesome-public-datasets#readme,Public Datasets error: timeout('timed out') | reason: 
