http://browniefed.com/blog/2015/07/26/react-native-animated-api-basic-example/,React-native Animated API Basic Example,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://browniefed.com/blog/2015/11/28/react-native-how-to-bridge-a-swift-view/,How to bridge a Swift view,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://reactnativemeteor.com,Learn React Native + Meteor,https://github.com/jondot/awesome-react-native#readme,React Native error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://browniefed.com/blog/2015/08/15/react-native-animated-api-with-panresponder/,React-native Animated API with PanResponder,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://moduscreate.com/blog/react_native_custom_components_ios/,Building Custom React Native Components From Scratch,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://browniefed.com/blog/2015/08/01/react-native-animated-listview-row-swipe/,React-native Animated ScrollView Row Swipe Actions,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://blog.paracode.com/2016/01/05/routing-and-navigation-in-react-native/,Routing and Navigation in React Native,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 421: 'Misdirected Request'> | reason: Misdirected Request
https://pusher.com/tutorials/chat-react-native,Build a chat app with React Native,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://egghead.io/series/react-native-fundamentals,React Native Fundamentals,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.ideamotive.co/blog/tag/react-native,Ideamotive's Blog,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://browniefed.com/blog/2015/11/07/react-native-how-to-create-twitter-exploding-hearts/,React Native Twitter exploding heart,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://habd.as/reflecting-on-react-native-development/,Reflecting on React Native development,https://github.com/jondot/awesome-react-native#readme,React Native error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://browniefed.com/blog/2015/06/07/react-native-layout-examples/,React-Native layout examples,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://facebook.github.io/react/blog/2015/05/22/react-native-release-process.html,Release Process,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
http://browniefed.com/blog/2015/08/31/react-native-youtube-animated-video-slide/,React Native Youtube Animated Video Slide,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://bullpen.bullish.io/how-to-actually-use-socket-io-in-react-native-39082d8d6172,React Native and Socket.io,https://github.com/jondot/awesome-react-native#readme,React Native error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
http://browniefed.com/blog/2015/08/29/react-native-animated-with-react-art-firework-show/,React-Native Animated with React-Art - Firework Tap To Shoot,https://github.com/jondot/awesome-react-native#readme,React Native error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://www.zudvpn.com,ZudVPN,https://github.com/jondot/awesome-react-native#readme,React Native error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
