https://blog.codelation.com/introducing-timer-for-tick/,Timer-for-tick,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://kickcode.com/building-mac-os-x-apps-with-rubymotion/,Building Mac macOS apps with RubyMotion,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://kickcode.com/blog/2015/08/18/working-with-nstableview.html,Working with NSTableView,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://kickcode.com/blog/2015/05/20/dragging-and-dropping-into-a-rubymotion-mac-os-x-app.html,Dragging and dropping,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://github.comclayallsopp/motion-env,Motion-env,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://vimeo.com/groups/199097/videos/69529068,Talk about RubyMotion and Low Energy Bleutooth Sensors,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://kickcode.com/blog/2015/05/06/capturing-video-and-audio-on-mac-os-x-with-rubymotion.html,Capturing video and audio,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://kickcode.com/blog/2015/05/07/previewing-video-and-audio-when-capturing-on-mac-os-x-with-rubymotion.html,Previewing video and audio when capturing,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://kickcode.com/blog/2015/05/13/custom-user-hotkey-combo.html,User specified custom key combination for a global hotkey,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://motioncasts.com,Motion Casts,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://motionobj.com/mlogger/,MLogger,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.jetbrains.com/ruby/help/rubymotion.html,RubyMine & RubyMotion,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 404: ''> | reason: 
http://rubymotion.github.io/BubbleWrap,BubbleWrap,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://infinitered.com/rmq,RubyMotionQuery - RMQ,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://teamstrobe.com/2014/02/07/ibeacons-with-rubymotion.html,IBeacons and Rubymotion,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://rubymotion-tutorial.com,Rubymotion Tutorial,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://gavinmorrice.com/blog/posts/30-how-to-use-the-facebook-ios-sdk-in-your-rubymotion-project,Facebook iOS SDK,https://github.com/motion-open-source/awesome-rubymotion#readme,RubyMotion error: <HTTPError 404: 'Not Found'> | reason: Not Found
