https://zwischenzugs.wordpress.com/2017/04/04/things-i-learned-managing-site-reliability-for-some-of-the-worlds-busiest-gambling-sites/,Things I Learned Managing Site Reliability for Some of the World’s Busiest Gambling Sites,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://softwareengineeringdaily.com/2018/04/09/site-reliability-management-with-mike-hiraga/,Podcast: Site Reliability Management with Mike Hiraga,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://dzone.com/articles/the-cloudcast-301-sre-and-infrastructure-operation,The Cloudcast #301: SRE and Infrastructure Operations (Podcast),https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://web.archive.org/web/20181229031420/http://anthonycaiafa.com/2016/04/27/new-to-a-team/,New to an SRE team?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://blog.newrelic.com/2018/07/05/site-reliability-engineering-sre/,Site Un-Reliability Engineering [Video Series],https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://queue.acm.org/detail.cfm?id=3178371,Monitoring in a DevOps World,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://mterwill.com/posts/framework-for-performance-engineering/,A framework for pragmatic performance engineering,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://www.susanjfowler.com/blog/2016/9/6/whos-on-call,Who's On Call?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://www.oreilly.com/webops-perf/newsletter.html,O’Reilly Systems Engineering and Operations Newsletter,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://the-cloud-book.com/,The Practice Of Cloud System Administration: Designing and Operating Large Distributed Systems,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('timed out') | reason: 
https://code.facebook.com/posts/166966743929963/how-production-engineers-support-global-events-on-facebook/,How production engineers support global events on Facebook,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://blog.box.com/blog/a-tale-of-postmortems/,A Tale of Postmortems,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://www.oreilly.com/pub/e/2712,Go Language for Ops and Site Reliability Engineering,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('timed out') | reason: 
http://geekologist.co/introduction-to-sre/,A Gentle Introduction to SRE,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://www.infoq.com/presentations/netflix-incident-management,Incident Management at Netflix Velocity,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://circleci.com/blog/onboarding-new-site-reliability-engineers/,Onboarding New Site Reliability Engineers,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://techbeacon.com/devops/how-accenture-retrofitted-site-reliability-engineering,SRE Adoption Report,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://www.infoq.com/presentations/ing-sre-teams-practices/,Making a Lion Bulletproof: SRE in Banking,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://devops.com/2015/09/10/linkedin-preps-site-reliability-engineers-sres-exciting-careers/,LinkedIn Preps Site Reliability Engineers (SREs) For Exciting Careers,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://thenewstack.io/call-rotations-best-wake-devs-middle-night/,On Call Rotations: How Best to Wake Devs Up in the Middle of the Night,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://www.stackoverflowbusiness.com/blog/how-to-find-and-hire-site-reliability-engineers-sres,How to Find and Hire Site Reliability Engineers (SREs),https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://rackn.com/sre-white-paper/,SRE white paper by RackN,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://blog.colinbreck.com/observations-on-observability/,Observations on Observability,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://opensource.com/article/19/7/measure-operational-performance,MTTR is dead, long live CIRT,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://stackoverflow.blog/2017/06/12/podcast-111-sre-occasionally-maintaining-infrastructure-hate/,Podcast #111 – SRE: Occasionally Maintaining Infrastructure That You Hate,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.ibm.com/developerworks/cloud/library/cl-slastandards/,Best practices to develop SLAs for cloud computing,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://some.ops4devs.info/,Operations for Developers,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://hackernoon.com/so-you-want-to-be-an-sre-34e832357a8c,So you want to be an SRE?,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://ResilienceRoundup.com,Resilience Roundup,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://thenewstack.io/the-role-of-site-reliability-engineering-today-and-tomorrow/,The Role of Site Reliability Engineering, Today and Tomorrow,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://www.squadcast.com/blog,Squadcast Blog,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://victorops.com/blog/blameless-culture/,Failure is Always An Option: How a Blameless Culture Leads to Better Results,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://www.susanjfowler.com/blog/2016/10/13/the-ops-identity-crisis,The Ops Identity Crisis,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
http://queue.acm.org/detail.cfm?id=2839461,Fail at Scale by Ben Maurer,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('timed out') | reason: 
https://thenewstack.io/sre-lessons-google-no-grumpy-humans/,No Grumpy Humans and Other Site Reliability Engineering Lessons from Google,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://web.archive.org/web/20190401220948/https://plus.google.com/+lizthegrey/posts/MLAJFVyEb2f,A hierarchy of SRE needs,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: timeout('The read operation timed out') | reason: 
https://www.networkcomputing.com/data-centers/site-reliability-engineering-4-things-know/888724300,Site Reliability Engineering: 4 Things to Know,https://github.com/dastergon/awesome-sre#readme,Site Reliability Engineering error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
