https://tech.geoblink.com,https://tech.geoblink.com,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tech.geoblink.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'tech.geoblink.com'. (_ssl.c:1076)
https://deferpanic.com/blog/,https://deferpanic.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://engineering.imvu.com/,https://engineering.imvu.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.imvu.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.imvu.com'. (_ssl.c:1076)
http://artplustech.com/,http://artplustech.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://blog.yld.io,https://blog.yld.io,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'blog.yld.io'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'blog.yld.io'. (_ssl.c:1076)
http://www.eharmony.com/engineering/,http://www.eharmony.com/engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 410: 'Gone'> | reason: Gone
http://engineering.chartbeat.com/,http://engineering.chartbeat.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://tech.wonga.com/,http://tech.wonga.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://lifepluslinux.blogspot.in/,http://lifepluslinux.blogspot.in/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://aakinshin.net/blog/,http://aakinshin.net/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://engineroom.settled.co.uk/,https://engineroom.settled.co.uk/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(OSError(0, 'Error')) | reason: [Errno 0] Error
https://www.hashicorp.com/blog/,https://www.hashicorp.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 308: 'Permanent Redirect'> | reason: Permanent Redirect
https://medium.com/walmartlabs/,https://medium.com/walmartlabs/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://tech.scrunch.com/blog/,https://tech.scrunch.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://www.azavea.com/blog/category/software-development/,https://www.azavea.com/blog/category/software-development/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.born2data.com/,http://www.born2data.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://tech.secretescapes.com/,http://tech.secretescapes.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://neverfriday.com/blog/,https://neverfriday.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'neverfriday.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'neverfriday.com'. (_ssl.c:1076)
http://engineering.laterooms.com/,http://engineering.laterooms.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://zeemee.engineering/,https://zeemee.engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://blog.prolificinteractive.com/category/development/,http://blog.prolificinteractive.com/category/development/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.msdn.com/b/abhinaba/,https://blogs.msdn.com/b/abhinaba/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.benefitfocus.com/blogs/design-engineering,https://www.benefitfocus.com/blogs/design-engineering,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.discovermeteor.com/blog,https://www.discovermeteor.com/blog,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
https://tech.jet.com/,https://tech.jet.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://blog.shazam.com/,https://blog.shazam.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://manu.sporny.org/,http://manu.sporny.org/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://blog.wearewizards.io/,https://blog.wearewizards.io/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)
http://www.cimgf.com/,http://www.cimgf.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://blog.joingrouper.com/,http://blog.joingrouper.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://ponyfoo.com/,https://ponyfoo.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: timeout('The read operation timed out') | reason: 
https://engineering.zenefits.com/posts/,https://engineering.zenefits.com/posts/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.zenefits.com'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'engineering.zenefits.com'. (_ssl.c:1076)
http://eng.datafox.co/,http://eng.datafox.co/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://engineering.ifttt.com/,http://engineering.ifttt.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://engineering.bittorrent.com/,http://engineering.bittorrent.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://blog.vevo.com/,http://blog.vevo.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 410: 'Gone'> | reason: Gone
http://engineering.vine.co/,http://engineering.vine.co/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://engineering.zomato.com/,https://engineering.zomato.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://rockthecode.io/,http://rockthecode.io/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://intentmedia.com/blog/,http://intentmedia.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://corner.squareup.com/,https://corner.squareup.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 504: 'Gateway Time-out'> | reason: Gateway Time-out
https://realm.io/news/,https://realm.io/news/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
