https://iplocate.app,iplocate.app,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://pagodabox.io,Pagodabox,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://dripstat.com,DripStat,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://devdocs.io/,DevDocs,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: timeout('The read operation timed out') | reason: 
https://gusto.com,Gusto,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: timeout('The read operation timed out') | reason: 
https://www.apify.com/metamn/2MS8r-api-https-github-com-cjbarber-toolsofthetrade,Data Extractor for Tools of The Trade,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gitprime.com/,Gitprime,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://mobile-orm.vertabelo.com/,Vertabelo Mobile ORM,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://mlab.com,mLab,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.drift.com,Drift,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1076)
https://www.people-doc.com/,PeopleDoc,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://smith.ai/keypad,Keypad by Smith.ai,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.shyp.com,Shyp,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1076)
https://www.tickspot.com/,Tickspot,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: timeout('The read operation timed out') | reason: 
https://www.tropo.com/,Tropo,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://Fast409A.io,Fast409A,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1076)
http://www.framebench.com,Framebench,https://github.com/cjbarber/ToolsOfTheTrade#readme,Tools of the Trade error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
