http://www.transitcast.com,www.transitcast.com,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://bison.connekt.nl/standaarden/,Netherland standard format,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.opentripplanner.org/analyst/,OpenTripPlanner Analyst,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://specs.frictionlessdata.io/data-packages/,Data Package specification,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://totx.sidewalklabs.com/,here,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://market.mashape.com/transloc/openapi-1-2,TransLoc OpenAPI,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.amazon.com/gp/mas/dl/android?p=com.joulespersecond.seattlebusbot,Fire Phone,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://camsys.software/products/1-click,1-Click,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://camsys.software/products/transam,TransAM,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.livemap24.com,Livemap24,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://camsys.software/products/ridepilot,Cambridge Systematics's marketing site,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://naptan.dft.gov.uk/transxchange/documentation.htm,UK standard format,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.microsoft.com/en-us/store/apps/onebusaway/9wzdncrdm5pc,Windows 8,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.wmata.com/rider_tools/metro_service_status/rail_bus.cfm,MetroAlerts,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://maas-api.org/,Mobility as a Service API,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: URLError(ConnectionRefusedError(61, 'Connection refused')) | reason: [Errno 61] Connection refused
https://reflect.foursquareitp.com,Reflect GTFS Validator (hosted by Foursquare ITP),https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: timeout('The read operation timed out') | reason: 
http://jpwright.net/subway/,Brand New Subway,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://static-gtfs-manager.herokuapp.com/,here,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: timeout('The read operation timed out') | reason: 
http://transitdatatoolkit.com/,Open Transit Data Toolkit,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: timeout('timed out') | reason: 
https://gtfs.pleasantprogrammer.com,GTFS.html,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mobilitydata-io.herokuapp.com/,MobilityData Slack chat,https://github.com/CUTR-at-USF/awesome-transit#readme,Transit error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
