http://refereemindset.com/uncopyright,Referee Mindset,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://michaelbeil.com/uncopyright,Michael Beil,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pixabay.com/service/license/,Pixabay License,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://pixabay.com/forum/official-pixabay-news-2/the-pixabay-license-7823/,in 2019,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://pixabay.com/it/forum/official-pixabay-news-2/the-pixabay-license-7823/?pagi=4,still in the public domain,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.spacex.com/media,SpaceX media,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://pixabay.com/service/,terms of service,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.billyshih.com/uncopyright/,Billy Shih,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://charb.it/uncopyright/,Char Bit,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://www.melissamiko.com/uncopyright/,Melissa Miko,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.stafforini.com/tango/uncopyright/,Puro compás,https://github.com/johnjago/awesome-uncopyright#readme,Uncopyright error: <HTTPError 404: 'Not Found'> | reason: Not Found
