http://linklayer.github.io/cantact/,CANtact,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.syscan360.org/slides/2016_SH_Jianhao_Liu_A_platform_base_on_visualization_for_protecting_CAN_bus_security.pdf,A Platform base on Visualization for Protecting CAN Bus Security,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://bugcrowd.com/fca,Fiat Chrysler Automobiles,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://2016.zeronights.ru/wp-content/uploads/2016/12/Gateway_Internals_of_Tesla_Motors_v6.pdf,Gateway Internals of Tesla Motors,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1123)
http://macchina.cc/guide/m2,Macchina M2,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.wired.com/2015/07/hackers-remotely-kill-jeep-highway/,Stopping a Jeep Cherokee on the Highway Remotely,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.amazon.cn/dp/B075QZXY7W,智能汽车安全攻防大揭秘,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: URLError(ConnectionResetError(54, 'Connection reset by peer')) | reason: [Errno 54] Connection reset by peer
http://www.canbushack.com/blog/index.php,canbushack: Hack Your Car,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://python-can.readthedocs.io/en/latest/index.html,Python-CAN,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.trustedsec.com/podcast/,TrustedSec Podcast,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.seeedstudio.com/wiki/CAN-BUS_Shield,ChuangZhou CAN-Bus Shield,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.vdi-wissensforum.de/en/event/it-security-for-vehicles/,IT Security for Vehicles,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.vanheusden.com/O2OO/,O2OO,https://github.com/jaredthecoder/awesome-vehicle-security#readme,Vehicle Security and Car Hacking error: <HTTPError 404: 'Not Found'> | reason: Not Found
