https://www.auxy.xyz/web%20security/2017/07/06/all-ssrf-knowledge.html,All you need to know about SSRF and how may we write tools to do auto-detect,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auxy.xyz'. (_ssl.c:1076)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.auxy.xyz'. (_ssl.c:1076)
http://zombiehelp54.blogspot.jp/2017/02/sql-injection-in-update-query-bug.html,SQL injection in an UPDATE query - a bug bounty story!,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://haveibeenpwned.com/,haveibeenpwned,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.linkedin.com/in/irenelobovalbuena/,Irene Lobo Valbuena,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 999: 'Request denied'> | reason: Request denied
https://segment.com/blog/authors/david-scrobonia/,David Scrobonia,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.zoomeye.org/,ZoomEye,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 521: ''> | reason: 
https://blog.appsecco.com/@yamakira_,Bharath,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.linkedin.com/in/daniel-stelter-gliese-170a70a2/,Daniel Stelter-Gliese,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 999: 'Request denied'> | reason: Request denied
https://fofa.so/?locale=en,FOFA,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://jlajara.gitlab.io/posts/2019/11/30/XSS_20_characters.html,Exploiting XSS with 20 characters limitation,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.webamooz.com/wp-content/uploads/bot/offsecmag/147.pdf,CSV Injection -> Meterpreter on Pornhub,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://csper.io,Csper,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 308: 'Unknown'> | reason: Unknown
https://threatvector.cylance.com/en_us/home/implications-of-loading-net-assemblies.html,Implications of Loading .NET Assemblies,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.avatao.com/How-I-could-steal-your-photos-from-Google/,How I could have stolen your photos from Google - my first 3 bug bounty writeups,https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.securiteam.com/,SecuriTeam Secure Disclosure (SSD),https://github.com/qazbnm456/awesome-web-security#readme,Web Security error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
