https://docs.apitools.com/blog/2014/06/10/using-nginx-as-an-intelligent-proxy-web-server.html,Using NGINX As An Intelligent Proxy & Web Server,https://github.com/fcambus/nginx-resources#readme,nginx error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
https://monterail.com/blog/2011/outbound-api-rate-limits-the-nginx-way,Outbound API rate limits: the nginx way,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://vitobotta.com/2014/01/12/using-nginx-to-comply-with-a-third-party-apis-rate-limits/,Using Nginx to comply with a third-party API's rate limits,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.iresty.com/download/ebook/2015_con/aapo.pdf,Developing OpenResty Framework using decoupled libraries,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.londonlua.org/scripting_nginx_with_lua/,Scripting Nginx with Lua,https://github.com/fcambus/nginx-resources#readme,nginx error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://blog.martinfjordvald.com/2010/07/nginx-primer/,Nginx Configuration Primer,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://docs.apitools.com/blog/2014/04/24/a-small-router-for-openresty.html,A small router for Openresty,https://github.com/fcambus/nginx-resources#readme,nginx error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
http://tech.3scale.net/2013/01/09/augment-your-api-without-touching-it/,Augmenting APIs with Nginx and Lua,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.martinfjordvald.com/2011/02/nginx-primer-2-from-apache-to-nginx/,Nginx Primer 2: From Apache to Nginx,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.martinfjordvald.com/2011/04/optimizing-nginx-for-high-traffic-loads/,Optimizing Nginx for High Traffic Loads,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.martinfjordvald.com/2012/08/understanding-the-nginx-configuration-inheritance-model/,Understanding the Nginx Configuration Inheritance Model,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.jsdelivr.com/2013/01/nginx-load-balancing-basics.html,Nginx Load Balancing Basics,https://github.com/fcambus/nginx-resources#readme,nginx error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://docs.apitools.com/blog/2014/07/02/using-environment-variables-in-nginx-conf.html,Using Environment Variables In Nginx.conf,https://github.com/fcambus/nginx-resources#readme,nginx error: URLError(gaierror(8, 'nodename nor servname provided, or not known')) | reason: [Errno 8] nodename nor servname provided, or not known
